Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
RN7SL596P	RNA, 7SL, cytoplasmic 596, pseudogene				106481085	106481085	NG_044405
RN7SL597P	RNA, 7SL, cytoplasmic 597, pseudogene				106479440	106479440	NG_043564
RN7SL598P	RNA, 7SL, cytoplasmic 598, pseudogene				106481759	106481759	NG_043682
RN7SL599P	RNA, 7SL, cytoplasmic 599, pseudogene						
RN7SL600P	RNA, 7SL, cytoplasmic 600, pseudogene				106481086	106481086	NG_045835
RN7SL601P	RNA, 7SL, cytoplasmic 601, pseudogene				106480520	106480520	NG_043977
RN7SL602P	RNA, 7SL, cytoplasmic 602, pseudogene				106479441	106479441	NG_043573
RN7SL603P	RNA, 7SL, cytoplasmic 603, pseudogene						
RN7SL604P	RNA, 7SL, cytoplasmic 604, pseudogene				106479442	106479442	NG_045068
RN7SL605P	RNA, 7SL, cytoplasmic 605, pseudogene				106481087	106481087	NG_044421
RN7SL606P	RNA, 7SL, cytoplasmic 606, pseudogene				106479443	106479443	NG_045499
RN7SL607P	RNA, 7SL, cytoplasmic 607, pseudogene				106481088	106481088	NG_044430
RN7SL608P	RNA, 7SL, cytoplasmic 608, pseudogene				106480521	106480521	NG_045668
RN7SL609P	RNA, 7SL, cytoplasmic 609, pseudogene						
RN7SL610P	RNA, 7SL, cytoplasmic 610, pseudogene				106479444	106479444	NG_045069
RN7SL611P	RNA, 7SL, cytoplasmic 611, pseudogene						
RN7SL612P	RNA, 7SL, cytoplasmic 612, pseudogene				106479445	106479445	NG_045506
RN7SL613P	RNA, 7SL, cytoplasmic 613, pseudogene						
RN7SL614P	RNA, 7SL, cytoplasmic 614, pseudogene				106481089	106481089	NG_008340
RN7SL615P	RNA, 7SL, cytoplasmic 615, pseudogene				106479446	106479446	NG_045508
RN7SL616P	RNA, 7SL, cytoplasmic 616, pseudogene				106481090	106481090	NG_044443
RN7SL617P	RNA, 7SL, cytoplasmic 617, pseudogene				106481852	106481852	NG_045828
RN7SL618P	RNA, 7SL, cytoplasmic 618, pseudogene				106479447	106479447	NG_045511
RN7SL619P	RNA, 7SL, cytoplasmic 619, pseudogene				106481091	106481091	NG_044453
RN7SL620P	RNA, 7SL, cytoplasmic 620, pseudogene				106479448	106479448	NG_045514
RN7SL621P	RNA, 7SL, cytoplasmic 621, pseudogene				106479449	106479449	NG_043634
RN7SL622P	RNA, 7SL, cytoplasmic 622, pseudogene				106481092	106481092	NG_045854
RN7SL623P	RNA, 7SL, cytoplasmic 623, pseudogene				106480522	106480522	NG_045674
RN7SL624P	RNA, 7SL, cytoplasmic 624, pseudogene				106480379	106480379	NG_033980
RN7SL625P	RNA, 7SL, cytoplasmic 625, pseudogene				106479450	106479450	NG_043640
RN7SL626P	RNA, 7SL, cytoplasmic 626, pseudogene						
RN7SL627P	RNA, 7SL, cytoplasmic 627, pseudogene				106481093	106481093	NG_044464
RN7SL628P	RNA, 7SL, cytoplasmic 628, pseudogene				106479451	106479451	NG_045525
RN7SL629P	RNA, 7SL, cytoplasmic 629, pseudogene				106479452	106479452	NG_011650
RN7SL630P	RNA, 7SL, cytoplasmic 630, pseudogene				106481094	106481094	NG_032159
RN7SL631P	symbol withdrawn, see [HGNC:23135](/data/gene-symbol-report/#!/hgnc_id/HGNC:23135)						
RN7SL632P	RNA, 7SL, cytoplasmic 632, pseudogene				106481095	106481095	NG_045169
RN7SL633P	RNA, 7SL, cytoplasmic 633, pseudogene				106479453	106479453	NG_045531
RN7SL634P	RNA, 7SL, cytoplasmic 634, pseudogene				106481096	106481096	NG_045868
RN7SL635P	RNA, 7SL, cytoplasmic 635, pseudogene				106479454	106479454	NG_043671
RN7SL636P	RNA, 7SL, cytoplasmic 636, pseudogene				106481097	106481097	NG_044494
RN7SL637P	RNA, 7SL, cytoplasmic 637, pseudogene						
RN7SL638P	RNA, 7SL, cytoplasmic 638, pseudogene				106479455	106479455	NG_045539
RN7SL639P	RNA, 7SL, cytoplasmic 639, pseudogene						
RN7SL640P	RNA, 7SL, cytoplasmic 640, pseudogene				106479456	106479456	NG_043685
RN7SL641P	RNA, 7SL, cytoplasmic 641, pseudogene						
RN7SL642P	RNA, 7SL, cytoplasmic 642, pseudogene						
RN7SL643P	RNA, 7SL, cytoplasmic 643, pseudogene				106481098	106481098	NG_044504
RN7SL644P	RNA, 7SL, cytoplasmic 644, pseudogene				106481853	106481853	NG_044406
RN7SL645P	RNA, 7SL, cytoplasmic 645, pseudogene				106479457	106479457	NG_043694
RN7SL646P	RNA, 7SL, cytoplasmic 646, pseudogene				106481099	106481099	NG_044514
RN7SL647P	RNA, 7SL, cytoplasmic 647, pseudogene				106479458	106479458	NG_043699
RN7SL648P	RNA, 7SL, cytoplasmic 648, pseudogene				106479459	106479459	NG_045548
RN7SL649P	RNA, 7SL, cytoplasmic 649, pseudogene				106481100	106481100	NG_044522
RN7SL650P	RNA, 7SL, cytoplasmic 650, pseudogene				106480523	106480523	NG_045678
RN7SL651P	RNA, 7SL, cytoplasmic 651, pseudogene						
RN7SL652P	RNA, 7SL, cytoplasmic 652, pseudogene				106479460	106479460	NG_043714
RN7SL653P	RNA, 7SL, cytoplasmic 653, pseudogene				106481101	106481101	NG_045880
RN7SL654P	RNA, 7SL, cytoplasmic 654, pseudogene				106479461	106479461	NG_043722
RN7SL655P	RNA, 7SL, cytoplasmic 655, pseudogene				106481102	106481102	NG_045884
RN7SL656P	RNA, 7SL, cytoplasmic 656, pseudogene				106481760	106481760	NG_045542
RN7SL657P	RNA, 7SL, cytoplasmic 657, pseudogene				107074708	107074708	NG_046366
RN7SL658P	RNA, 7SL, cytoplasmic 658, pseudogene				106480524	106480524	NG_044006
RN7SL659P	RNA, 7SL, cytoplasmic 659, pseudogene				106479462	106479462	NG_043731
RN7SL660P	RNA, 7SL, cytoplasmic 660, pseudogene				106479463	106479463	NG_045555
RN7SL661P	RNA, 7SL, cytoplasmic 661, pseudogene						
RN7SL662P	RNA, 7SL, cytoplasmic 662, pseudogene						
RN7SL663P	RNA, 7SL, cytoplasmic 663, pseudogene				106481103	106481103	NG_046730
RN7SL664P	RNA, 7SL, cytoplasmic 664, pseudogene				106479464	106479464	NG_043744
RN7SL665P	RNA, 7SL, cytoplasmic 665, pseudogene				106481104	106481104	NG_045892
RN7SL666P	RNA, 7SL, cytoplasmic 666, pseudogene				106481854	106481854	NG_044414
RN7SL667P	RNA, 7SL, cytoplasmic 667, pseudogene				106479465	106479465	NG_043753
RN7SL668P	RNA, 7SL, cytoplasmic 668, pseudogene				106479466	106479466	NG_043760
RN7SL669P	RNA, 7SL, cytoplasmic 669, pseudogene						
RN7SL670P	RNA, 7SL, cytoplasmic 670, pseudogene				106481105	106481105	NG_007956
RN7SL671P	RNA, 7SL, cytoplasmic 671, pseudogene			NG_043765	106479467	106479467	NG_043765
RN7SL672P	RNA, 7SL, cytoplasmic 672, pseudogene				106481106	106481106	NG_012119
RN7SL673P	RNA, 7SL, cytoplasmic 673, pseudogene				106480525	106480525	NG_045684
RN7SL674P	RNA, 7SL, cytoplasmic 674, pseudogene				106479468	106479468	NG_029429
RN7SL675P	RNA, 7SL, cytoplasmic 675, pseudogene				106481107	106481107	NG_044576
RN7SL676P	RNA, 7SL, cytoplasmic 676, pseudogene				106479469	106479469	NG_043783
RN7SL677P	RNA, 7SL, cytoplasmic 677, pseudogene				106479470	106479470	NG_043791
RN7SL678P	RNA, 7SL, cytoplasmic 678, pseudogene				106481108	106481108	NG_045902
RN7SL679P	RNA, 7SL, cytoplasmic 679, pseudogene				106481855	106481855	NG_044422
RN7SL680P	RNA, 7SL, cytoplasmic 680, pseudogene				106480380	106480380	NG_044911
RN7SL681P	RNA, 7SL, cytoplasmic 681, pseudogene				106479471	106479471	NG_045582
RN7SL682P	RNA, 7SL, cytoplasmic 682, pseudogene						
RN7SL683P	RNA, 7SL, cytoplasmic 683, pseudogene				106481109	106481109	NG_044595
RN7SL684P	RNA, 7SL, cytoplasmic 684, pseudogene				106479472	106479472	NG_043807
RN7SL685P	RNA, 7SL, cytoplasmic 685, pseudogene				106479473	106479473	NG_043817
RN7SL686P	RNA, 7SL, cytoplasmic 686, pseudogene						
RN7SL687P	RNA, 7SL, cytoplasmic 687, pseudogene				106481110	106481110	NG_045907
RN7SL688P	RNA, 7SL, cytoplasmic 688, pseudogene				106479474	106479474	NG_043824
RN7SL689P	RNA, 7SL, cytoplasmic 689, pseudogene				106481111	106481111	NG_044613
RN7SL690P	RNA, 7SL, cytoplasmic 690, pseudogene				106479475	106479475	NG_045592
RN7SL691P	RNA, 7SL, cytoplasmic 691, pseudogene				106481112	106481112	NG_044621
RN7SL692P	RNA, 7SL, cytoplasmic 692, pseudogene				106479476	106479476	NG_043840
RN7SL693P	RNA, 7SL, cytoplasmic 693, pseudogene				106479477	106479477	NG_043847
RN7SL694P	symbol withdrawn, see [HGNC:46290](/data/gene-symbol-report/#!/hgnc_id/HGNC:46290)						
RN7SL695P	RNA, 7SL, cytoplasmic 695, pseudogene						
RN7SL696P	RNA, 7SL, cytoplasmic 696, pseudogene						
RN7SL697P	RNA, 7SL, cytoplasmic 697, pseudogene				106480526	106480526	NG_044023
RN7SL698P	RNA, 7SL, cytoplasmic 698, pseudogene				106481113	106481113	NG_045916
RN7SL699P	RNA, 7SL, cytoplasmic 699, pseudogene						
RN7SL700P	RNA, 7SL, cytoplasmic 700, pseudogene				106479478	106479478	NG_043853
RN7SL701P	RNA, 7SL, cytoplasmic 701, pseudogene						
RN7SL702P	RNA, 7SL, cytoplasmic 702, pseudogene				106481114	106481114	NG_044637
RN7SL703P	RNA, 7SL, cytoplasmic 703, pseudogene				106479479	106479479	NG_043857
RN7SL704P	RNA, 7SL, cytoplasmic 704, pseudogene				106481115	106481115	NG_044641
RN7SL705P	RNA, 7SL, cytoplasmic 705, pseudogene				106481856	106481856	NG_044432
RN7SL706P	RNA, 7SL, cytoplasmic 706, pseudogene				106479480	106479480	NG_043863
RN7SL707P	RNA, 7SL, cytoplasmic 707, pseudogene						
RN7SL708P	RNA, 7SL, cytoplasmic 708, pseudogene				106479481	106479481	NG_043870
RN7SL709P	RNA, 7SL, cytoplasmic 709, pseudogene				106481116	106481116	NG_044650
RN7SL710P	RNA, 7SL, cytoplasmic 710, pseudogene						
RN7SL711P	RNA, 7SL, cytoplasmic 711, pseudogene				106479482	106479482	NG_043878
RN7SL712P	RNA, 7SL, cytoplasmic 712, pseudogene				106481117	106481117	NG_045933
RN7SL713P	RNA, 7SL, cytoplasmic 713, pseudogene				106480381	106480381	NG_044917
RN7SL714P	RNA, 7SL, cytoplasmic 714, pseudogene				106480527	106480527	NG_044032
RN7SL715P	RNA, 7SL, cytoplasmic 715, pseudogene				106479483	106479483	NG_043885
RN7SL716P	RNA, 7SL, cytoplasmic 716, pseudogene				106479484	106479484	NG_009298
RN7SL717P	RNA, 7SL, cytoplasmic 717, pseudogene				106481118	106481118	NG_045188
RN7SL718P	RNA, 7SL, cytoplasmic 718, pseudogene				106479485	106479485	NG_043903
RN7SL719P	RNA, 7SL, cytoplasmic 719, pseudogene				106481119	106481119	NG_045942
RN7SL720P	RNA, 7SL, cytoplasmic 720, pseudogene				106480528	106480528	NG_044039
RN7SL721P	RNA, 7SL, cytoplasmic 721, pseudogene						
RN7SL722P	RNA, 7SL, cytoplasmic 722, pseudogene				106479486	106479486	NG_043909
RN7SL723P	RNA, 7SL, cytoplasmic 723, pseudogene						
RN7SL724P	RNA, 7SL, cytoplasmic 724, pseudogene				106479487	106479487	NG_045630
RN7SL725P	RNA, 7SL, cytoplasmic 725, pseudogene				106481120	106481120	NG_045948
RN7SL726P	RNA, 7SL, cytoplasmic 726, pseudogene				106479488	106479488	NG_045635
RN7SL727P	RNA, 7SL, cytoplasmic 727, pseudogene				106481121	106481121	NG_044686
RN7SL728P	RNA, 7SL, cytoplasmic 728, pseudogene				106481857	106481857	NG_044440
RN7SL729P	RNA, 7SL, cytoplasmic 729, pseudogene						
RN7SL730P	RNA, 7SL, cytoplasmic 730, pseudogene						
RN7SL731P	RNA, 7SL, cytoplasmic 731, pseudogene				107048981	107048981	NG_008069
RN7SL732P	RNA, 7SL, cytoplasmic 732, pseudogene				106481122	106481122	NG_044694
RN7SL733P	RNA, 7SL, cytoplasmic 733, pseudogene				106479489	106479489	NG_043926
RN7SL734P	RNA, 7SL, cytoplasmic 734, pseudogene				106479490	106479490	NG_043932
RN7SL735P	RNA, 7SL, cytoplasmic 735, pseudogene				106480529	106480529	NG_012206
RN7SL736P	RNA, 7SL, cytoplasmic 736, pseudogene				107080652	107080652	NG_046565
RN7SL737P	RNA, 7SL, cytoplasmic 737, pseudogene				106481123	106481123	NG_044704
RN7SL738P	RNA, 7SL, cytoplasmic 738, pseudogene				106480695	106480695	NG_043370
RN7SL739P	RNA, 7SL, cytoplasmic 739, pseudogene						
RN7SL740P	RNA, 7SL, cytoplasmic 740, pseudogene				106479491	106479491	NG_043939
RN7SL741P	RNA, 7SL, cytoplasmic 741, pseudogene				106481124	106481124	NG_042855
RN7SL742P	RNA, 7SL, cytoplasmic 742, pseudogene						
RN7SL743P	RNA, 7SL, cytoplasmic 743, pseudogene				106479492	106479492	NG_045648
RN7SL744P	RNA, 7SL, cytoplasmic 744, pseudogene				106479493	106479493	NG_045652
RN7SL745P	RNA, 7SL, cytoplasmic 745, pseudogene				106481858	106481858	NG_012121
RN7SL746P	RNA, 7SL, cytoplasmic 746, pseudogene						
RN7SL747P	RNA, 7SL, cytoplasmic 747, pseudogene						
RN7SL748P	RNA, 7SL, cytoplasmic 748, pseudogene				106481125	106481125	NG_044721
RN7SL749P	RNA, 7SL, cytoplasmic 749, pseudogene				106479494	106479494	NG_045657
RN7SL750P	RNA, 7SL, cytoplasmic 750, pseudogene				106481126	106481126	NG_052671
RN7SL751P	RNA, 7SL, cytoplasmic 751, pseudogene				106479495	106479495	NG_011729
RN7SL752P	RNA, 7SL, cytoplasmic 752, pseudogene				106481127	106481127	NG_044740
RN7SL753P	RNA, 7SL, cytoplasmic 753, pseudogene				106479496	106479496	NG_045114
RN7SL754P	RNA, 7SL, cytoplasmic 754, pseudogene				106479497	106479497	NG_045667
RN7SL755P	RNA, 7SL, cytoplasmic 755, pseudogene						
RN7SL756P	RNA, 7SL, cytoplasmic 756, pseudogene				106481128	106481128	NG_044748
RN7SL757P	RNA, 7SL, cytoplasmic 757, pseudogene				106480530	106480530	NG_045696
RN7SL758P	RNA, 7SL, cytoplasmic 758, pseudogene						
RN7SL759P	RNA, 7SL, cytoplasmic 759, pseudogene				106479498	106479498	NG_045673
RN7SL760P	RNA, 7SL, cytoplasmic 760, pseudogene				106481129	106481129	NG_045969
RN7SL761P	RNA, 7SL, cytoplasmic 761, pseudogene				106479499	106479499	NG_043994
RN7SL762P	RNA, 7SL, cytoplasmic 762, pseudogene				106479500	106479500	NG_044003
RN7SL763P	RNA, 7SL, cytoplasmic 763, pseudogene				106481130	106481130	NG_044764
RN7SL764P	RNA, 7SL, cytoplasmic 764, pseudogene				106480531	106480531	NG_044065
RN7SL765P	RNA, 7SL, cytoplasmic 765, pseudogene						
RN7SL766P	RNA, 7SL, cytoplasmic 766, pseudogene				106479501	106479501	NG_044012
RN7SL767P	RNA, 7SL, cytoplasmic 767, pseudogene				106481131	106481131	NG_054720
RN7SL768P	RNA, 7SL, cytoplasmic 768, pseudogene						
RN7SL769P	RNA, 7SL, cytoplasmic 769, pseudogene				106479502	106479502	NG_044019
RN7SL770P	RNA, 7SL, cytoplasmic 770, pseudogene						
RN7SL771P	RNA, 7SL, cytoplasmic 771, pseudogene				106481132	106481132	NG_044780
RN7SL772P	RNA, 7SL, cytoplasmic 772, pseudogene						
RN7SL773P	RNA, 7SL, cytoplasmic 773, pseudogene						
RN7SL774P	RNA, 7SL, cytoplasmic 774, pseudogene				106481761	106481761	NG_045545
RN7SL775P	RNA, 7SL, cytoplasmic 775, pseudogene				106481859	106481859	NG_045849
RN7SL776P	RNA, 7SL, cytoplasmic 776, pseudogene				106479503	106479503	NG_044028
RN7SL777P	RNA, 7SL, cytoplasmic 777, pseudogene						
RN7SL778P	RNA, 7SL, cytoplasmic 778, pseudogene				106479504	106479504	NG_044036
RN7SL779P	RNA, 7SL, cytoplasmic 779, pseudogene						
RN7SL780P	RNA, 7SL, cytoplasmic 780, pseudogene						
RN7SL781P	RNA, 7SL, cytoplasmic 781, pseudogene						
RN7SL782P	RNA, 7SL, cytoplasmic 782, pseudogene				106481133	106481133	NG_044790
RN7SL783P	RNA, 7SL, cytoplasmic 783, pseudogene				106479505	106479505	NG_044044
RN7SL784P	RNA, 7SL, cytoplasmic 784, pseudogene				106481134	106481134	NG_028005
RN7SL785P	RNA, 7SL, cytoplasmic 785, pseudogene				106480532	106480532	NG_044075
RN7SL786P	RNA, 7SL, cytoplasmic 786, pseudogene				106479506	106479506	NG_044055
RN7SL787P	RNA, 7SL, cytoplasmic 787, pseudogene				106479507	106479507	NG_045127
RN7SL788P	RNA, 7SL, cytoplasmic 788, pseudogene				106481135	106481135	NG_045989
RN7SL789P	RNA, 7SL, cytoplasmic 789, pseudogene				106479508	106479508	NG_045698
RN7SL790P	RNA, 7SL, cytoplasmic 790, pseudogene				106481136	106481136	NG_044815
RN7SL791P	RNA, 7SL, cytoplasmic 791, pseudogene				106481860	106481860	NG_011570
RN7SL792P	RNA, 7SL, cytoplasmic 792, pseudogene				106479509	106479509	NG_044080
RN7SL793P	RNA, 7SL, cytoplasmic 793, pseudogene				106481137	106481137	NG_044823
RN7SL794P	RNA, 7SL, cytoplasmic 794, pseudogene				106479510	106479510	NG_044086
RN7SL795P	RNA, 7SL, cytoplasmic 795, pseudogene				106479511	106479511	NG_044097
RN7SL796P	RNA, 7SL, cytoplasmic 796, pseudogene				107080653	107080653	NG_046566
RN7SL797P	RNA, 7SL, cytoplasmic 797, pseudogene				106481138	106481138	NG_044831
RN7SL798P	RNA, 7SL, cytoplasmic 798, pseudogene				106480533	106480533	NG_044082
RN7SL799P	RNA, 7SL, cytoplasmic 799, pseudogene				106480382	106480382	NG_044922
RN7SL800P	RNA, 7SL, cytoplasmic 800, pseudogene				106479512	106479512	NG_046948
RN7SL801P	RNA, 7SL, cytoplasmic 801, pseudogene				106481139	106481139	NG_046004
RN7SL802P	RNA, 7SL, cytoplasmic 802, pseudogene				106479513	106479513	NG_044114
RN7SL803P	RNA, 7SL, cytoplasmic 803, pseudogene				106479514	106479514	NG_044122
RN7SL804P	RNA, 7SL, cytoplasmic 804, pseudogene				106481140	106481140	NG_052956
RN7SL805P	RNA, 7SL, cytoplasmic 805, pseudogene						
RN7SL806P	RNA, 7SL, cytoplasmic 806, pseudogene				106479515	106479515	NG_044128
RN7SL807P	RNA, 7SL, cytoplasmic 807, pseudogene				106481141	106481141	NG_044857
RN7SL808P	RNA, 7SL, cytoplasmic 808, pseudogene				106481861	106481861	NG_044466
RN7SL809P	RNA, 7SL, cytoplasmic 809, pseudogene				106479516	106479516	NG_045724
RN7SL810P	RNA, 7SL, cytoplasmic 810, pseudogene				106481142	106481142	NG_046012
RN7SL811P	RNA, 7SL, cytoplasmic 811, pseudogene				106479517	106479517	NG_028283
RN7SL812P	RNA, 7SL, cytoplasmic 812, pseudogene				106479518	106479518	NG_045732
RN7SL813P	RNA, 7SL, cytoplasmic 813, pseudogene				106480534	106480534	NG_044090
RN7SL814P	RNA, 7SL, cytoplasmic 814, pseudogene				106481143	106481143	NG_044872
RN7SL815P	RNA, 7SL, cytoplasmic 815, pseudogene				106479519	106479519	NG_044155
RN7SL816P	RNA, 7SL, cytoplasmic 816, pseudogene						
RN7SL817P	RNA, 7SL, cytoplasmic 817, pseudogene				106481144	106481144	NG_045202
RN7SL818P	RNA, 7SL, cytoplasmic 818, pseudogene				106479520	106479520	NG_017010
RN7SL819P	RNA, 7SL, cytoplasmic 819, pseudogene				106481145	106481145	NG_044889
RN7SL820P	RNA, 7SL, cytoplasmic 820, pseudogene				106480535	106480535	NG_053156
RN7SL821P	RNA, 7SL, cytoplasmic 821, pseudogene						
RN7SL822P	RNA, 7SL, cytoplasmic 822, pseudogene				106479521	106479521	NG_044171
RN7SL823P	RNA, 7SL, cytoplasmic 823, pseudogene				106479522	106479522	NG_054892
RN7SL824P	RNA, 7SL, cytoplasmic 824, pseudogene				106481146	106481146	NG_044895
RN7SL825P	RNA, 7SL, cytoplasmic 825, pseudogene				107080654	107080654	NG_046567
RN7SL826P	RNA, 7SL, cytoplasmic 826, pseudogene				106479523	106479523	NG_045750
RN7SL827P	RNA, 7SL, cytoplasmic 827, pseudogene				106481762	106481762	NG_043706
RN7SL828P	RNA, 7SL, cytoplasmic 828, pseudogene				106481147	106481147	NG_044904
RN7SL829P	RNA, 7SL, cytoplasmic 829, pseudogene						
RN7SL830P	RNA, 7SL, cytoplasmic 830, pseudogene						
RN7SL831P	RNA, 7SL, cytoplasmic 831, pseudogene				106481862	106481862	NG_044475
RN7SL832P	RNA, 7SL, cytoplasmic 832, pseudogene			NR_144555	106479524	106479524	NR_144555
RN7SL833P	RNA, 7SL, cytoplasmic 833, pseudogene				106479525	106479525	NG_045760
RN7SL834P	RNA, 7SL, cytoplasmic 834, pseudogene				106481148	106481148	NG_029842
RN7SL835P	RNA, 7SL, cytoplasmic 835, pseudogene				106479526	106479526	NG_044205
RN7SL836P	RNA, 7SL, cytoplasmic 836, pseudogene				106481149	106481149	NG_046038
RN7SL837P	RNA, 7SL, cytoplasmic 837, pseudogene				106480536	106480536	NG_044110
RN7SL838P	RNA, 7SL, cytoplasmic 838, pseudogene				106479527	106479527	NG_045766
RN7SL839P	RNA, 7SL, cytoplasmic 839, pseudogene						
RN7SL840P	RNA, 7SL, cytoplasmic 840, pseudogene				106479528	106479528	NG_033179
RN7SL841P	RNA, 7SL, cytoplasmic 841, pseudogene				106481150	106481150	NG_044924
RN7SL842P	RNA, 7SL, cytoplasmic 842, pseudogene				106479529	106479529	NG_045774
RN7SL843P	RNA, 7SL, cytoplasmic 843, pseudogene				106481151	106481151	NG_044934
RN7SL844P	RNA, 7SL, cytoplasmic 844, pseudogene						
RN7SL845P	RNA, 7SL, cytoplasmic 845, pseudogene				106481863	106481863	NG_045170
RN7SL846P	RNA, 7SL, cytoplasmic 846, pseudogene				106479530	106479530	NG_044999
RN7SL847P	RNA, 7SL, cytoplasmic 847, pseudogene				106481152	106481152	NG_045235
RN7SL848P	symbol withdrawn, see [HGNC:10041](/data/gene-symbol-report/#!/hgnc_id/HGNC:10041)						
RN7SL849P	RNA, 7SL, cytoplasmic 849, pseudogene				106479531	106479531	NG_044245
RN7SL850P	RNA, 7SL, cytoplasmic 850, pseudogene				106479532	106479532	NG_044255
RN7SL851P	RNA, 7SL, cytoplasmic 851, pseudogene				106480537	106480537	NG_045714
RN7SL852P	RNA, 7SL, cytoplasmic 852, pseudogene						
RN7SL853P	RNA, 7SL, cytoplasmic 853, pseudogene				106481153	106481153	NG_045239
RN7SL854P	RNA, 7SL, cytoplasmic 854, pseudogene				106480383	106480383	NG_044932
RN7SL855P	RNA, 7SL, cytoplasmic 855, pseudogene						
RN7SL856P	RNA, 7SL, cytoplasmic 856, pseudogene				106479533	106479533	NG_045785
RN7SL857P	RNA, 7SL, cytoplasmic 857, pseudogene						
RN7SL858P	RNA, 7SL, cytoplasmic 858, pseudogene						
RN7SL859P	RNA, 7SL, cytoplasmic 859, pseudogene						
RN7SL860P	RNA, 7SL, cytoplasmic 860, pseudogene				106635537	106635537	NG_042889
RN7SL861P	RNA, 7SL, cytoplasmic 861, pseudogene				106479534	106479534	NG_045788
RN7SL862P	RNA, 7SL, cytoplasmic 862, pseudogene				106479535	106479535	NG_044281
RN7SL863P	RNA, 7SL, cytoplasmic 863, pseudogene				106480538	106480538	NG_045719
RN7SL864P	RNA, 7SL, cytoplasmic 864, pseudogene				106479536	106479536	NG_045792
RN7SL865P	RNA, 7SL, cytoplasmic 865, pseudogene				106481154	106481154	NG_042917
RN7SL866P	RNA, 7SL, cytoplasmic 866, pseudogene						
RN7SL867P	RNA, 7SL, cytoplasmic 867, pseudogene						
RN7SL868P	RNA, 7SL, cytoplasmic 868, pseudogene				106479537	106479537	NG_044299
RN7SL869P	RNA, 7SL, cytoplasmic 869, pseudogene				106481864	106481864	NG_044489
RN7SL870P	RNA, 7SL, cytoplasmic 870, pseudogene				106481155	106481155	NG_042927
RN7SL871P	RNA, 7SL, cytoplasmic 871, pseudogene						
RN7SL872P	RNA, 7SL, cytoplasmic 872, pseudogene						
RNA5-8S1	RNA, 5.8S ribosomal 1				106632263	106632263	
RNA5-8S2	RNA, 5.8S ribosomal 2				106632262	106632262	
RNA5-8S3	RNA, 5.8S ribosomal 3				106632261	106632261	
RNA5-8S4	RNA, 5.8S ribosomal 4				110255166	110255166	
RNA5-8S5	RNA, 5.8S ribosomal 5	RN5-8S1			110255170	110255170	
RNA5-8SN1	RNA, 5.8S ribosomal N1			NR_145821	106632260	106632260	NR_145821
RNA5-8SN2	RNA, 5.8S ribosomal N2	RNA5-8N2		NR_146147	109864281	109864281	NR_146147
RNA5-8SN3	RNA, 5.8S ribosomal N3			NR_146153	109910381	109910381	NR_146153
RNA5-8SN4	RNA, 5.8S ribosomal N4			NR_146120	109864274	109864274	NR_146120
RNA5-8SN5	RNA, 5.8S ribosomal N5			NR_003285	100008587	100008587	NR_003285
RNA5-8SP2	RNA, 5.8S ribosomal pseudogene 2	RN5-8S2			100873571	100873571	NG_033434
RNA5-8SP3	RNA, 5.8S ribosomal pseudogene 3	RN5-8S3		NG_033470	100873334	100873334	NG_033470
RNA5-8SP4	RNA, 5.8S ribosomal pseudogene 4	RN5-8S4			100873572	100873572	NG_033436
RNA5-8SP5	RNA, 5.8S ribosomal pseudogene 5	RN5-8S5			100873335	100873335	NG_033472
RNA5-8SP6	RNA, 5.8S ribosomal pseudogene 6	RN5-8S6			100873336	100873336	NG_033474
RNA5-8SP7	RNA, 5.8S ribosomal pseudogene 7	RN5-8S7			100873573	100873573	NG_033438
RNA5-8SP8	RNA, 5.8S ribosomal pseudogene 8			NG_054872	109864278	109864278	NR_146140
RNA5-8SP9	RNA, 5.8S ribosomal pseudogene 9			NG_054874	109864276	109864276	NR_146137
RNA5-8SP10	RNA, 5.8S ribosomal pseudogene 10			NG_054876	109910384	109910384	NR_146157
RNA5S1	RNA, 5S ribosomal 1	RN5S1		NR_023363	100169751	100169751	NR_023363
RNA5S2	RNA, 5S ribosomal 2	RN5S2		NR_023364	100169753	100169753	NR_023364
RNA5S3	RNA, 5S ribosomal 3	RN5S3		NR_023365	100169754	100169754	NR_023365
RNA5S4	RNA, 5S ribosomal 4	RN5S4		NR_023366	100169755	100169755	NR_023366
RNA5S5	RNA, 5S ribosomal 5	RN5S5		NR_023367	100169756	100169756	NR_023367
RNA5S6	RNA, 5S ribosomal 6	RN5S6		NR_023368	100169757	100169757	NR_023368
RNA5S7	RNA, 5S ribosomal 7	RN5S7		NR_023369	100169758	100169758	NR_023369
RNA5S8	RNA, 5S ribosomal 8	RN5S8		NR_023370	100169759	100169759	NR_023370
RNA5S9	RNA, 5S ribosomal 9	RN5S9		NR_023371	100169760	100169760	NR_023371
RNA5S10	RNA, 5S ribosomal 10	RN5S10		NR_023372	100169761	100169761	NR_023372
RNA5S11	RNA, 5S ribosomal 11	RN5S11		NR_023373	100169762	100169762	NR_023373
RNA5S12	RNA, 5S ribosomal 12	RN5S12		NR_023374	100169763	100169763	NR_023374
RNA5S13	RNA, 5S ribosomal 13	RN5S13		NR_023375	100169764	100169764	NR_023375
RNA5S14	RNA, 5S ribosomal 14	RN5S14		NR_023376	100169765	100169765	NR_023376
